listing_date,season,address,list_price,original_price,sold_price,house_type,bedrooms,bathrooms,dom,built_year,garage_type,sqft,lot_size,latitude,longitude,neighborhood,region
2025-05-27,Spring,"217 Southview Crescent , Winnipeg R3Y 0G9",559900,559900,559900,RD,3,3,45,2013.0,double_attachedached,1681.0,6176.0,0.0,0.0,South Pointe,South Pointe
2025-05-27,Spring,,79900,79900,79900,VL,0,0,15,,none,,35632.0,0.0,0.0,Bridgwater Lakes,Bridgwater Lakes
2025-05-27,Spring,"239 Oak Lawn Road , Winnipeg R3Y 0H1",849900,849900,849900,RD,2,3,7,2011.0,double_attachedached,1736.0,,0.0,0.0,Bridgwater Forest,Bridgwater Forest
2025-05-27,Spring,,504900,504900,504900,SA,3,3,59,2025.0,single_attachedached,1489.0,,0.0,0.0,Prairie Pointe,Prairie Pointe
2025-05-27,Spring,,417900,417900,417900,SA,3,3,69,2025.0,none,1399.0,1994.0,0.0,0.0,Prairie Pointe,Prairie Pointe
2025-05-27,Spring,"280 Willow Creek Road , Winnipeg R3Y 1S4",939900,939900,939900,RD,3,3,56,2022.0,double_attachedached,2664.0,4883.0,0.0,0.0,Bridgwater Trails,Bridgwater Trails
2025-05-27,Spring,,769900,769900,769900,RD,5,3,4,2017.0,double_attachedached,2252.0,,0.0,0.0,Prairie Pointe,Prairie Pointe
2025-05-27,Spring,,599900,599900,599900,RD,3,4,9,2017.0,double_detachedached,1621.0,3989.0,0.0,0.0,Bridgwater Trails,Bridgwater Trails
2025-05-27,Spring,,619900,619900,619900,RD,4,3,7,2011.0,double_attachedached,2090.0,,0.0,0.0,South Pointe,South Pointe
2025-05-27,Spring,,739000,739000,739000,SA,3,4,4,2014.0,double_attachedached,2291.0,10608.0,0.0,0.0,Bridgwater Lakes,Bridgwater Lakes
2025-05-27,Spring,,739900,739900,739900,RD,3,4,10,2013.0,double_attachedached,2328.0,5901.0,0.0,0.0,Bridgwater Forest,Bridgwater Forest
2025-05-27,Spring,,459900,459900,459900,TH,3,3,17,2024.0,single_detachedached,1399.0,,0.0,0.0,Prairie Pointe,Prairie Pointe
2025-05-27,Spring,,549900,549900,549900,RD,3,3,8,2014.0,double_attachedached,1359.0,,0.0,0.0,South Pointe,South Pointe
2025-05-27,Spring,,417900,417900,417900,SA,3,3,67,2025.0,none,1399.0,1994.0,0.0,0.0,Prairie Pointe,Prairie Pointe
2025-05-27,Spring,"156 Red Spruce Road , Winnipeg R3Y 0R1",719900,719900,719900,RD,3,3,7,2017.0,double_attachedached,2043.0,6464.0,0.0,0.0,Bridgwater Lakes,Bridgwater Lakes
2025-05-27,Spring,,699900,699900,699900,RD,4,4,37,2011.0,double_attachedached,2258.0,,0.0,0.0,South Pointe,South Pointe
2025-05-27,Spring,"435 Bridge Lake Drive , Winnipeg R3Y 0S3",545000,545000,545000,RD,3,3,17,2017.0,double_detachedached,1600.0,,0.0,0.0,Bridgwater Lakes,Bridgwater Lakes
