listing_date,season,address,list_price,original_price,sold_price,house_type,bedrooms,bathrooms,dom,built_year,garage_type,sqft,lot_size,latitude,longitude,neighborhood,region
2025-06-11,Summer,"Sold
202501535
1Aw/Lord Roberts
450 Arnold Avenue
Winnipeg
OL / 1911
Single Family Detached
Year-round
Bungalow
688 SF
0.00 M2/0 SF
BDA: 2 TBD: 2
FB: 1 HB: 0 EN: N
Full",,,,,2,1.0,,,none,,,0.0,0.0,none,Central
2025-06-11,Summer,"Sold
202500957
1Aw/Lord Roberts
324 Morley Avenue
Winnipeg
OL / 1913
Single Family Detached
Year-round
One and a Half
1058 SF
0.00 M2/0 SF
BDA: 3 TBD: 3
FB: 1 HB: 0 EN: N
3/4",,,,,3,1.0,,,none,,,0.0,0.0,none,Central
2025-06-11,Summer,"Sold
202427926
1Aw/Lord Roberts
560 Beresford Avenue
Winnipeg
 / 1912
Single Family Detached
Year-round
One and a Half
925 SF
0.00 M2/0 SF
BDA: 2 TBD: 2
FB: 1 HB: 0 EN: N
Full
Wood Frame
Wood Siding",,,,,2,1.0,,,none,,,0.0,0.0,none,Central
2025-06-11,Summer,"Sold
202513491
1B/Osborne Village
515 Wardlaw Avenue
Winnipeg
OL / 1905
Single Family Detached
Year-round
Two and a Half
2018 SF
0.00 M2/0 SF
BDA: 4 TBD: 4
FB: 2 HB: 0 EN: N
Full",,,,,4,1.0,,,none,,,0.0,0.0,none,none
2025-06-11,Summer,"Sold
202512917
1B/Crescentwood
814 Dudley Avenue
Winnipeg
OL / 1947
Single Family Detached
Year-round
One and a Half
1200 SF
0.00 M2/0 SF
BDA: 4 TBD: 4
FB: 1 HB: 1 EN: N
Full",,,,,4,1.0,,,none,,,0.0,0.0,none,none
2025-06-11,Summer,"Sold
202509555
1B/Crescentwood
1149 McMillan Avenue
Winnipeg
OL / 1946
Single Family Detached
Year-round
Bungalow
700 SF
0.00 M2/0 SF
BDA: 1 TBD: 1
FB: 2 HB: 0 EN: N
Full
Wood Frame
Vinyl",,,,,1,1.0,,,none,,,0.0,0.0,none,none
2025-06-11,Summer,"Sold
202507053
1B/Crescentwood
805 Dudley Avenue
Winnipeg
OL / 1947
Single Family Detached
Year-round
One and a Half
1120 SF
0.00 M2/0 SF
BDA: 2 TBD: 3
FB: 2 HB: 0 EN: Y
Full",,,,,2,1.0,,,none,,,0.0,0.0,none,none
2025-06-11,Summer,"Sold
202507935
1B/Osborne Village
608 Fleet Avenue
Winnipeg
OL / 1952
Single Family Detached
Year-round
Bungalow
991 SF
0.00 M2/0 SF
BDA: 3 TBD: 3
FB: 1 HB: 1 EN: N
Full",,,,,3,1.0,,,none,,,0.0,0.0,none,none
2025-06-11,Summer,"Sold
202507555
1B/Crescentwood
857 Lorette Avenue
Winnipeg
 / 1912
Single Family Detached
Year-round
One and a Half
880 SF
0.00 M2/0 SF
BDA: 2 TBD: 2
FB: 1 HB: 0 EN: N
Full",,,,,2,1.0,,,none,,,0.0,0.0,none,none
2025-06-11,Summer,"Sold
202506396
1B/Crescentwood
575 Fleet Avenue
Winnipeg
OL / 1909
Single Family Detached
Year-round
Two Storey
1200 SF
0.00 M2/0 SF
BDA: 3 TBD: 3
FB: 0 HB: 1 EN: N
3/4",,,,,3,1.0,,,none,,,0.0,0.0,none,none
